index,id,datetime,time,reading,measure,port
16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,649.01,C3H8,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,444.39,C4H10,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,642.71,CH4,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,0.74,H2,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,1.63,C2H5OH,COM5

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,19.9,O2,COM6

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,980.0,Pressure,COM6

16,pine chip NO3 humid,03/20/2018 12:41:10,450.000,30.9,uvTemperature,COM6

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,754.0,CO2,COM4

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,46.8,Humidity,COM4

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,27.6,Temperature,COM4

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,0.75,NH3,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,4.47,CO,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,0.15,NO2,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,655.99,C3H8,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,448.44,C4H10,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,679.23,CH4,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,0.75,H2,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,1.67,C2H5OH,COM5

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,19.9,O2,COM6

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,980.0,Pressure,COM6

17,pine chip NO3 humid,03/20/2018 12:41:40,480.000,31.1,uvTemperature,COM6

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,778.0,CO2,COM4

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,47.6,Humidity,COM4

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,27.7,Temperature,COM4

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,0.75,NH3,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,4.52,CO,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,0.14,NO2,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,663.04,C3H8,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,452.53,C4H10,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,704.65,CH4,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,0.76,H2,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,1.69,C2H5OH,COM5

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,19.89,O2,COM6

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,980.0,Pressure,COM6

18,pine chip NO3 humid,03/20/2018 12:42:10,510.000,31.1,uvTemperature,COM6

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,773.0,CO2,COM4

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,48.2,Humidity,COM4

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,27.7,Temperature,COM4

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,0.76,NH3,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,4.54,CO,COM5

